source,flow,unit,currency,year,reporting,partner,export_import,special_general,species_bullions,transport_type,statistical_period,partner_sum,world_trade_type,notes
TerritoireDuCamerounStatistiquesCommerciales_193619371938_40,25819,1000,francs,1936,cameroun,france,imp,,,,,,,
TerritoireDuCamerounStatistiquesCommerciales_193619371938_40,20,1000,francs,1936,cameroun,a.e.f.,imp,,,,,,,
TerritoireDuCamerounStatistiquesCommerciales_193619371938_40,95,1000,francs,1936,cameroun,a.o.f.,imp,,,,,,,
TerritoireDuCamerounStatistiquesCommerciales_193619371938_40,2271,1000,francs,1936,cameroun,autres colonies françaises,imp,,,,,,,
TerritoireDuCamerounStatistiquesCommerciales_193619371938_40,25989,1000,francs,1936,cameroun,angleterre,imp,,,,,,,
TerritoireDuCamerounStatistiquesCommerciales_193619371938_40,7371,1000,francs,1936,cameroun,allemagne,imp,,,,,,,
TerritoireDuCamerounStatistiquesCommerciales_193619371938_40,2524,1000,francs,1936,cameroun,pays-bas,imp,,,,,,,
TerritoireDuCamerounStatistiquesCommerciales_193619371938_40,12298,1000,francs,1936,cameroun,belgique,imp,,,,,,,
TerritoireDuCamerounStatistiquesCommerciales_193619371938_40,14231,1000,francs,1936,cameroun,u.s.a.,imp,,,,,,,
TerritoireDuCamerounStatistiquesCommerciales_193619371938_40,179,1000,francs,1936,cameroun,italie,imp,,,,,,,
TerritoireDuCamerounStatistiquesCommerciales_193619371938_40,21663,1000,francs,1936,cameroun,japon,imp,,,,,,,
TerritoireDuCamerounStatistiquesCommerciales_193619371938_40,374,1000,francs,1936,cameroun,nigéria,imp,,,,,,,
TerritoireDuCamerounStatistiquesCommerciales_193619371938_40,3719,1000,francs,1936,cameroun,autres colonies anglaises,imp,,,,,,,
TerritoireDuCamerounStatistiquesCommerciales_193619371938_40,9813,1000,francs,1936,cameroun,autres pays,imp,,,,,,,
TerritoireDuCamerounStatistiquesCommerciales_193619371938_40,126366,1000,francs,1936,cameroun,total,imp,,,,,,total_reporting,
TerritoireDuCamerounStatistiquesCommerciales_193619371938_40,33497,1000,francs,1937,cameroun,france,imp,,,,,,,
TerritoireDuCamerounStatistiquesCommerciales_193619371938_40,516,1000,francs,1937,cameroun,a.e.f.,imp,,,,,,,
TerritoireDuCamerounStatistiquesCommerciales_193619371938_40,389,1000,francs,1937,cameroun,a.o.f.,imp,,,,,,,
TerritoireDuCamerounStatistiquesCommerciales_193619371938_40,4695,1000,francs,1937,cameroun,autres colonies françaises,imp,,,,,,,
TerritoireDuCamerounStatistiquesCommerciales_193619371938_40,54921,1000,francs,1937,cameroun,angleterre,imp,,,,,,,
TerritoireDuCamerounStatistiquesCommerciales_193619371938_40,20256,1000,francs,1937,cameroun,allemagne,imp,,,,,,,
TerritoireDuCamerounStatistiquesCommerciales_193619371938_40,4792,1000,francs,1937,cameroun,pays-bas,imp,,,,,,,
TerritoireDuCamerounStatistiquesCommerciales_193619371938_40,11552,1000,francs,1937,cameroun,belgique,imp,,,,,,,
TerritoireDuCamerounStatistiquesCommerciales_193619371938_40,28506,1000,francs,1937,cameroun,u.s.a.,imp,,,,,,,
TerritoireDuCamerounStatistiquesCommerciales_193619371938_40,2165,1000,francs,1937,cameroun,italie,imp,,,,,,,
TerritoireDuCamerounStatistiquesCommerciales_193619371938_40,61547,1000,francs,1937,cameroun,japon,imp,,,,,,,
TerritoireDuCamerounStatistiquesCommerciales_193619371938_40,778,1000,francs,1937,cameroun,nigéria,imp,,,,,,,
TerritoireDuCamerounStatistiquesCommerciales_193619371938_40,7733,1000,francs,1937,cameroun,autres colonies anglaises,imp,,,,,,,
TerritoireDuCamerounStatistiquesCommerciales_193619371938_40,26622,1000,francs,1937,cameroun,autres pays,imp,,,,,,,
TerritoireDuCamerounStatistiquesCommerciales_193619371938_40,257969,1000,francs,1937,cameroun,total,imp,,,,,,total_reporting,
TerritoireDuCamerounStatistiquesCommerciales_193619371938_40,57343,1000,francs,1938,cameroun,france,imp,,,,,,,
TerritoireDuCamerounStatistiquesCommerciales_193619371938_40,174,1000,francs,1938,cameroun,a.e.f.,imp,,,,,,,
TerritoireDuCamerounStatistiquesCommerciales_193619371938_40,172,1000,francs,1938,cameroun,a.o.f.,imp,,,,,,,
TerritoireDuCamerounStatistiquesCommerciales_193619371938_40,7176,1000,francs,1938,cameroun,autres colonies françaises,imp,,,,,,,
TerritoireDuCamerounStatistiquesCommerciales_193619371938_40,28673,1000,francs,1938,cameroun,angleterre,imp,,,,,,,
TerritoireDuCamerounStatistiquesCommerciales_193619371938_40,15361,1000,francs,1938,cameroun,allemagne,imp,,,,,,,
TerritoireDuCamerounStatistiquesCommerciales_193619371938_40,4534,1000,francs,1938,cameroun,pays-bas,imp,,,,,,,
TerritoireDuCamerounStatistiquesCommerciales_193619371938_40,7794,1000,francs,1938,cameroun,belgique,imp,,,,,,,
TerritoireDuCamerounStatistiquesCommerciales_193619371938_40,30613,1000,francs,1938,cameroun,u.s.a.,imp,,,,,,,
TerritoireDuCamerounStatistiquesCommerciales_193619371938_40,1408,1000,francs,1938,cameroun,italie,imp,,,,,,,
TerritoireDuCamerounStatistiquesCommerciales_193619371938_40,31170,1000,francs,1938,cameroun,japon,imp,,,,,,,
TerritoireDuCamerounStatistiquesCommerciales_193619371938_40,1033,1000,francs,1938,cameroun,nigéria,imp,,,,,,,
TerritoireDuCamerounStatistiquesCommerciales_193619371938_40,6871,1000,francs,1938,cameroun,autres colonies anglaises,imp,,,,,,,
TerritoireDuCamerounStatistiquesCommerciales_193619371938_40,22990,1000,francs,1938,cameroun,autres pays,imp,,,,,,,
TerritoireDuCamerounStatistiquesCommerciales_193619371938_40,215212,1000,francs,1938,cameroun,total,imp,,,,,,total_reporting,
TerritoireDuCamerounStatistiquesCommerciales_193619371938_54,117475,1000,francs,1936,cameroun,france,exp,spe,,,,,,
TerritoireDuCamerounStatistiquesCommerciales_193619371938_54,1258,1000,francs,1936,cameroun,a.e.f.,exp,spe,,,,,,
TerritoireDuCamerounStatistiquesCommerciales_193619371938_54,380,1000,francs,1936,cameroun,a.o.f.,exp,spe,,,,,,
TerritoireDuCamerounStatistiquesCommerciales_193619371938_54,980,1000,francs,1936,cameroun,autres colonies françaises,exp,spe,,,,,,
TerritoireDuCamerounStatistiquesCommerciales_193619371938_54,3995,1000,francs,1936,cameroun,angleterre,exp,spe,,,,,,
TerritoireDuCamerounStatistiquesCommerciales_193619371938_54,5891,1000,francs,1936,cameroun,allemagne,exp,spe,,,,,,
TerritoireDuCamerounStatistiquesCommerciales_193619371938_54,25868,1000,francs,1936,cameroun,pays-bas,exp,spe,,,,,,
TerritoireDuCamerounStatistiquesCommerciales_193619371938_54,1727,1000,francs,1936,cameroun,belgique,exp,spe,,,,,,
TerritoireDuCamerounStatistiquesCommerciales_193619371938_54,5718,1000,francs,1936,cameroun,u.s.a.,exp,spe,,,,,,
TerritoireDuCamerounStatistiquesCommerciales_193619371938_54,179,1000,francs,1936,cameroun,italie,exp,spe,,,,,,
TerritoireDuCamerounStatistiquesCommerciales_193619371938_54,1178,1000,francs,1936,cameroun,nigéria,exp,spe,,,,,,
