source,flow,unit,currency,year,reporting,partner,export_import,special_general,species_bullions,transport_type,statistical_period,partner_sum,world_trade_type,notes
UgandaProtectorateBlueBook_191415_V1,266831,1,£,1914,uganda protectorate,united kingdom,imp,gen,,,Year begins 1st April,,,
UgandaProtectorateBlueBook_191415_V1,69864,1,£,1914,uganda protectorate,british india,imp,gen,,,Year begins 1st April,,,
UgandaProtectorateBlueBook_191415_V1,17665,1,£,1914,uganda protectorate,british east africa,imp,gen,,,Year begins 1st April,,,
UgandaProtectorateBlueBook_191415_V1,530,1,£,1914,uganda protectorate,british south africa,imp,gen,,,Year begins 1st April,,,
UgandaProtectorateBlueBook_191415_V1,765,1,£,1914,uganda protectorate,canada,imp,gen,,,Year begins 1st April,,,
UgandaProtectorateBlueBook_191415_V1,2,1,£,1914,uganda protectorate,australia,imp,gen,,,Year begins 1st April,,,
UgandaProtectorateBlueBook_191415_V1,95,1,£,1914,uganda protectorate,sudan,imp,gen,,,Year begins 1st April,,,
UgandaProtectorateBlueBook_191415_V1,254,1,£,1914,uganda protectorate,zanzibar,imp,gen,,,Year begins 1st April,,,
UgandaProtectorateBlueBook_191415_V1,35,1,£,1914,uganda protectorate,egypt,imp,gen,,,Year begins 1st April,,,
UgandaProtectorateBlueBook_191415_V1,6888,1,£,1914,uganda protectorate,other british possessions,imp,gen,,,Year begins 1st April,,,
UgandaProtectorateBlueBook_191415_V1,49946,1,£,1914,uganda protectorate,germany,imp,gen,,,Year begins 1st April,,,
UgandaProtectorateBlueBook_191415_V1,5072,1,£,1914,uganda protectorate,german possessions,imp,gen,,,Year begins 1st April,,,
UgandaProtectorateBlueBook_191415_V1,34,1,£,1914,uganda protectorate,russia,imp,gen,,,Year begins 1st April,,,
UgandaProtectorateBlueBook_191415_V1,11506,1,£,1914,uganda protectorate,norway and sweden,imp,gen,,,Year begins 1st April,,,
UgandaProtectorateBlueBook_191415_V1,3051,1,£,1914,uganda protectorate,switzerland,imp,gen,,,Year begins 1st April,,,
UgandaProtectorateBlueBook_191415_V1,17133,1,£,1914,uganda protectorate,holland,imp,gen,,,Year begins 1st April,,,
UgandaProtectorateBlueBook_191415_V1,14689,1,£,1914,uganda protectorate,belgium,imp,gen,,,Year begins 1st April,,,
UgandaProtectorateBlueBook_191415_V1,11694,1,£,1914,uganda protectorate,france,imp,gen,,,Year begins 1st April,,,
UgandaProtectorateBlueBook_191415_V1,50,1,£,1914,uganda protectorate,french possessions,imp,gen,,,Year begins 1st April,,,
UgandaProtectorateBlueBook_191415_V1,288,1,£,1914,uganda protectorate,portugal,imp,gen,,,Year begins 1st April,,,
UgandaProtectorateBlueBook_191415_V1,23,1,£,1914,uganda protectorate,portuguese possessions,imp,gen,,,Year begins 1st April,,,
UgandaProtectorateBlueBook_191415_V1,71,1,£,1914,uganda protectorate,spain,imp,gen,,,Year begins 1st April,,,
UgandaProtectorateBlueBook_191415_V1,3263,1,£,1914,uganda protectorate,italy,imp,gen,,,Year begins 1st April,,,
UgandaProtectorateBlueBook_191415_V1,15455,1,£,1914,uganda protectorate,austria (hungary),imp,gen,,,Year begins 1st April,,,
UgandaProtectorateBlueBook_191415_V1,67,1,£,1914,uganda protectorate,denmark,imp,gen,,,Year begins 1st April,,,
UgandaProtectorateBlueBook_191415_V1,169,1,£,1914,uganda protectorate,china,imp,gen,,,Year begins 1st April,,,
UgandaProtectorateBlueBook_191415_V1,2368,1,£,1914,uganda protectorate,japan,imp,gen,,,Year begins 1st April,,,
UgandaProtectorateBlueBook_191415_V1,59187,1,£,1914,uganda protectorate,united states of america,imp,gen,,,Year begins 1st April,,,
UgandaProtectorateBlueBook_191415_V1,19708,1,£,1914,uganda protectorate,belgian congo,imp,gen,,,Year begins 1st April,,,
UgandaProtectorateBlueBook_191415_V1,137,1,£,1914,uganda protectorate,arabia,imp,gen,,,Year begins 1st April,,,
UgandaProtectorateBlueBook_191415_V1,12044,1,£,1914,uganda protectorate,sumatra and java,imp,gen,,,Year begins 1st April,,,
UgandaProtectorateBlueBook_191415_V1,51,1,£,1914,uganda protectorate,turkey,imp,gen,,,Year begins 1st April,,,
UgandaProtectorateBlueBook_191415_V1,23,1,£,1914,uganda protectorate,persia,imp,gen,,,Year begins 1st April,,,
UgandaProtectorateBlueBook_191415_V1,588958,1,£,1914,uganda protectorate,total,imp,gen,,,Year begins 1st April,,total_reporting,
