RICname,type,continent,COW_code,slug
Aden & Aden Dependencies,group,Asia,,
Aden & Algeria & Egypt/United Arab Republic & Iran (Persia) & Morocco & Asian Turkey,group,World,,
Aden & Arabia,group,Asia,,
Aden & Egypt/United Arab Republic & Asian Turkey,group,World,,
Aden & Perim I.,group,Asia,,
Aden & Straits Settlements,group,Asia,,
Aden & other,group,World,,
Adriatic Ports,group,Europe,,
Afghanistan & Iran (Persia),group,Asia,,
Africa Coast (West) (other),geographical_area,Africa,,
Africa Ports (other),group,Africa,,
Africa Ports (other) & Asia Ports (other),group,World,,
Alaska & United States of America,group,America,,
Albania & Fiume & Yugoslavia/Serbia,group,Europe,,
Albania & Montenegro & Yugoslavia/Serbia,group,Europe,,
Albania & Yugoslavia/Serbia,group,Europe,,
Algeria & Morocco,group,Africa,,
Algeria & Tunisia,group,Africa,,
American America,colonial_area,America,,
American America Is. & British America Is. & French America Is.,group,America,,
American Central America,geographical_area,America,,
American Samoa,country,Oceania,991,
Amur River Ports,group,Europe,,
Angola & Kabinda (Portuguese Congo),group,Africa,,
Angola & Portuguese West Africa,group,Africa,,
Anjouan,country,Africa,5813,
Annam & Cochin China & Kampuchea (Cambodia) & French China Leased Territory & Tonkin,group,Asia,,
Antarctic & Arctic,geographical_area,World,,
Antilles (East),geographical_area,America,,
Antilles (West),geographical_area,America,,
Antilles Ports (other),group,America,,
Arabia & Hejaz Sultanate & Iraq (Mesopotamia),group,Asia,,
Arabia & Persian Gulf Ports,group,Asia,,
Arabia & Persian Gulf Ports & Red Sea,group,Asia,,
Arabia (Asia),geographical_area,Asia,,
Arabia (sea) & Persian Gulf Ports,group,Asia,,
Argentina & Patagonia (Atlantic Coast),group,America,,
Argentina Ports,group,America,,
Armenia,country,Europe,371,
Armenia & Kurdistan,group,Europe,,
Ashmore and Cartier Is,country,Oceania,9008,
Asia (West),geographical_area,Asia,,
Asia Ports (other),group,Asia,,
Australia & British Oceania & Tasmania,group,Oceania,,
Australia & New Zealand & Tasmania,group,Oceania,,
Australia & Tasmania,group,Oceania,,
Austria-Hungary Ports & Trieste,group,Europe,,
Austria-Hungary Ports (Adriatic),group,Europe,,
Azores (Western Isles) & Africa Coast (West),group,World,,
Bahamas & British West Indies,group,America,,
Baltic Ports,group,Europe,,
Baltic Ports & Belgium & Germany,group,Europe,,
Banjermassin (Dutch Borneo) & Brunei & Labuan I. & Sabah (North Borneo) & Sarawak,group,Asia,,
Belgian Africa,colonial_area,Africa,,
Belize (British Honduras) & British West Indies,group,America,,
Belize (British Honduras) & British West Indies & Guyana (Br. Guiana),group,America,,
Benghazi & Libya (Tripolitania Cyrenaica Fezzan),group,Africa,,
Berbice & Demerara,group,America,,
Bermuda & British West Indies,group,America,,
Bhutan & Nepal,group,Asia,,
Billiton Is.,country,Asia,,
Black Sea & Levant,geographical_area,World,,
Black Sea European Ports & Mediterranean European Ports,group,Europe,,
Botswana (Bechuanaland) & Lesotho (Basutoland) & Swaziland,group,Africa,,
Brazil Ports,group,America,,
Bremen & German Ports & Hamburg & Lubeck,group,Europe,,
British Antilles (West),colonial_area,America,,
British Antilles (other),colonial_area,America,,
British Antilles (other) & Jamaica & Jamaica Dependencies & Trinidad and Tobago,group,America,,
British Cameroons & Nigeria,group,Africa,,
