source,flow,unit,currency,year,reporting,partner,export_import,special_general,species_bullions,transport_type,statistical_period,partner_sum,world_trade_type,notes
GowaJRHicks20132017,828159,1,pounds,1921,south west africa,united kingdom,exp,,,,,,,
GowaJRHicks20132017,303246,1,pounds,1921,south west africa,union of south africa,exp,,,,,,,
GowaJRHicks20132017,379998,1,pounds,1921,south west africa,belgium,exp,,,,,,,
GowaJRHicks20132017,20,1,pounds,1921,south west africa,madagascar,exp,,,,,,,
GowaJRHicks20132017,59542,1,pounds,1921,south west africa,germany,exp,,,,,,,
GowaJRHicks20132017,1947,1,pounds,1921,south west africa,netherlands,exp,,,,,,,
GowaJRHicks20132017,247,1,pounds,1921,south west africa,portuguese west africa,exp,,,,,,,
GowaJRHicks20132017,20,1,pounds,1921,south west africa,canary islands,exp,,,,,,,
GowaJRHicks20132017,2762,1,pounds,1921,south west africa,us,exp,,,,,,,
GowaJRHicks20132017,283,1,pounds,1921,south west africa,brazil,exp,,,,,,,
GowaJRHicks20132017,354815,1,pounds,1922,south west africa,united kingdom,exp,,,,,,,
GowaJRHicks20132017,80,1,pounds,1922,south west africa,mauritius,exp,,,,,,,
GowaJRHicks20132017,423568,1,pounds,1922,south west africa,union of south africa,exp,,,,,,,
GowaJRHicks20132017,323610,1,pounds,1922,south west africa,belgium,exp,,,,,,,
GowaJRHicks20132017,5080,1,pounds,1922,south west africa,france,exp,,,,,,,
GowaJRHicks20132017,12,1,pounds,1922,south west africa,madagascar,exp,,,,,,,
GowaJRHicks20132017,73677,1,pounds,1922,south west africa,germany,exp,,,,,,,
GowaJRHicks20132017,6035,1,pounds,1922,south west africa,netherlands,exp,,,,,,,
GowaJRHicks20132017,328,1,pounds,1922,south west africa,portuguese east africa,exp,,,,,,,
GowaJRHicks20132017,437,1,pounds,1922,south west africa,portuguese west africa,exp,,,,,,,
GowaJRHicks20132017,65,1,pounds,1922,south west africa,canary islands,exp,,,,,,,
GowaJRHicks20132017,15780,1,pounds,1922,south west africa,us,exp,,,,,,,
GowaJRHicks20132017,1426704,1,pounds,1923,south west africa,united kingdom,exp,,,,,,,
GowaJRHicks20132017,102,1,pounds,1923,south west africa,mauritius,exp,,,,,,,
GowaJRHicks20132017,545327,1,pounds,1923,south west africa,union of south africa,exp,,,,,,,
GowaJRHicks20132017,434850,1,pounds,1923,south west africa,belgium,exp,,,,,,,
GowaJRHicks20132017,41461,1,pounds,1923,south west africa,denmark,exp,,,,,,,
GowaJRHicks20132017,32465,1,pounds,1923,south west africa,france,exp,,,,,,,
GowaJRHicks20132017,148518,1,pounds,1923,south west africa,germany,exp,,,,,,,
GowaJRHicks20132017,17842,1,pounds,1923,south west africa,netherlands,exp,,,,,,,
GowaJRHicks20132017,6125,1,pounds,1923,south west africa,portuguese east africa,exp,,,,,,,
GowaJRHicks20132017,247,1,pounds,1923,south west africa,canary islands,exp,,,,,,,
GowaJRHicks20132017,1720,1,pounds,1923,south west africa,us,exp,,,,,,,
GowaJRHicks20132017,1576224,1,pounds,1921,south west africa,total,exp,,,,,,total_reporting,
GowaJRHicks20132017,1203487,1,pounds,1922,south west africa,total,exp,,,,,,total_reporting,
GowaJRHicks20132017,2655361,1,pounds,1923,south west africa,total,exp,,,,,,total_reporting,
GowaJRHicks20132017,5482,1,pounds,1919,south west africa,united kingdom,imp,,,,,,,country of origin
GowaJRHicks20132017,1196,1,pounds,1919,south west africa,india,imp,,,,,,,country of origin
GowaJRHicks20132017,31,1,pounds,1919,south west africa,ceylon,imp,,,,,,,country of origin
