source,flow,unit,currency,year,reporting,partner,export_import,special_general,species_bullions,transport_type,statistical_period,partner_sum,world_trade_type,notes
GowaJRHicks20132017,337384,1,pounds,1921,northern rhodesia,united kingdom,exp,,,,,,,
GowaJRHicks20132017,120,1,pounds,1921,northern rhodesia,new zealand,exp,,,,,,,
GowaJRHicks20132017,45,1,pounds,1921,northern rhodesia,kenya colony,exp,,,,,,,
GowaJRHicks20132017,34,1,pounds,1921,northern rhodesia,s.w. africa protectorate,exp,,,,,,,
GowaJRHicks20132017,3163,1,pounds,1921,northern rhodesia,north east rhodesia,exp,,,,,,,
GowaJRHicks20132017,35522,1,pounds,1921,northern rhodesia,southern rhodesia,exp,,,,,,,
GowaJRHicks20132017,48826,1,pounds,1921,northern rhodesia,union of south africa,exp,,,,,,,
GowaJRHicks20132017,768,1,pounds,1921,northern rhodesia,nyassaland protectorate,exp,,,,,,,
GowaJRHicks20132017,32,1,pounds,1921,northern rhodesia,belgium,exp,,,,,,,
GowaJRHicks20132017,133025,1,pounds,1921,northern rhodesia,belgian congo,exp,,,,,,,
GowaJRHicks20132017,35,1,pounds,1921,northern rhodesia,germany,exp,,,,,,,
GowaJRHicks20132017,125,1,pounds,1921,northern rhodesia,portuguese east africa,exp,,,,,,,
GowaJRHicks20132017,911,1,pounds,1921,northern rhodesia,portuguese west africa,exp,,,,,,,
GowaJRHicks20132017,4770,1,pounds,1921,northern rhodesia,united states of america,exp,,,,,,,
GowaJRHicks20132017,231890,1,pounds,1922,northern rhodesia,united kingdom,exp,,,,,,,
GowaJRHicks20132017,79,1,pounds,1922,northern rhodesia,india,exp,,,,,,,
GowaJRHicks20132017,9,1,pounds,1922,northern rhodesia,australia,exp,,,,,,,
GowaJRHicks20132017,4,1,pounds,1922,northern rhodesia,new zealand,exp,,,,,,,
GowaJRHicks20132017,1647,1,pounds,1922,northern rhodesia,north east rhodesia,exp,,,,,,,
GowaJRHicks20132017,39595,1,pounds,1922,northern rhodesia,southern rhodesia,exp,,,,,,,
GowaJRHicks20132017,45879,1,pounds,1922,northern rhodesia,union of south africa,exp,,,,,,,
GowaJRHicks20132017,183,1,pounds,1922,northern rhodesia,nyassaland protectorate,exp,,,,,,,
GowaJRHicks20132017,158737,1,pounds,1922,northern rhodesia,belgium,exp,,,,,,,
GowaJRHicks20132017,110967,1,pounds,1922,northern rhodesia,belgian congo,exp,,,,,,,
GowaJRHicks20132017,900,1,pounds,1922,northern rhodesia,germany,exp,,,,,,,
GowaJRHicks20132017,451,1,pounds,1922,northern rhodesia,holland,exp,,,,,,,
GowaJRHicks20132017,1416,1,pounds,1922,northern rhodesia,portuguese east africa,exp,,,,,,,
GowaJRHicks20132017,188,1,pounds,1922,northern rhodesia,portuguese west africa,exp,,,,,,,
GowaJRHicks20132017,7385,1,pounds,1922,northern rhodesia,united states of america,exp,,,,,,,
GowaJRHicks20132017,131925,1,£,1926,northern rhodesia,united kingdom,exp,,,,,,,
GowaJRHicks20132017,440,1,£,1926,northern rhodesia,australia,exp,,,,,,,
GowaJRHicks20132017,307,1,£,1926,northern rhodesia,new zealand,exp,,,,,,,
GowaJRHicks20132017,105,1,£,1926,northern rhodesia,hong kong,exp,,,,,,,
GowaJRHicks20132017,5,1,£,1926,northern rhodesia,kenya colony,exp,,,,,,,
GowaJRHicks20132017,9684,1,£,1926,northern rhodesia,north east rhodesia,exp,,,,,,,
GowaJRHicks20132017,65543,1,£,1926,northern rhodesia,southern rhodesia,exp,,,,,,,
GowaJRHicks20132017,161439,1,£,1926,northern rhodesia,union of south africa,exp,,,,,,,
GowaJRHicks20132017,295,1,£,1926,northern rhodesia,nyassaland protectorate,exp,,,,,,,
GowaJRHicks20132017,14245,1,£,1926,northern rhodesia,belgium,exp,,,,,,,
GowaJRHicks20132017,95518,1,£,1926,northern rhodesia,belgian congo,exp,,,,,,,
GowaJRHicks20132017,73,1,£,1926,northern rhodesia,france,exp,,,,,,,
GowaJRHicks20132017,2112,1,£,1926,northern rhodesia,germany,exp,,,,,,,
GowaJRHicks20132017,419,1,£,1926,northern rhodesia,portuguese east africa,exp,,,,,,,
GowaJRHicks20132017,361,1,£,1926,northern rhodesia,united states of america,exp,,,,,,,
GowaJRHicks20132017,263723,1,£,1927,northern rhodesia,united kingdom,exp,,,,,,,
GowaJRHicks20132017,4,1,£,1927,northern rhodesia,canada,exp,,,,,,,
GowaJRHicks20132017,360,1,£,1927,northern rhodesia,ceylon,exp,,,,,,,
GowaJRHicks20132017,17,1,£,1927,northern rhodesia,australia,exp,,,,,,,
GowaJRHicks20132017,117,1,£,1927,northern rhodesia,hong kong,exp,,,,,,,
GowaJRHicks20132017,7396,1,£,1927,northern rhodesia,north east rhodesia,exp,,,,,,,
GowaJRHicks20132017,77221,1,£,1927,northern rhodesia,southern rhodesia,exp,,,,,,,
GowaJRHicks20132017,167284,1,£,1927,northern rhodesia,union of south africa,exp,,,,,,,
GowaJRHicks20132017,12,1,£,1927,northern rhodesia,nyassaland protectorate,exp,,,,,,,
GowaJRHicks20132017,416,1,£,1927,northern rhodesia,british west india islands,exp,,,,,,,
GowaJRHicks20132017,48524,1,£,1927,northern rhodesia,belgium,exp,,,,,,,
GowaJRHicks20132017,131072,1,£,1927,northern rhodesia,belgian congo,exp,,,,,,,
GowaJRHicks20132017,9,1,£,1927,northern rhodesia,france,exp,,,,,,,
GowaJRHicks20132017,5945,1,£,1927,northern rhodesia,germany,exp,,,,,,,
GowaJRHicks20132017,5477,1,£,1927,northern rhodesia,holland,exp,,,,,,,
GowaJRHicks20132017,11323,1,£,1927,northern rhodesia,italy,exp,,,,,,,
GowaJRHicks20132017,93,1,£,1927,northern rhodesia,portuguese east africa,exp,,,,,,,
GowaJRHicks20132017,13,1,£,1927,northern rhodesia,portuguese west africa,exp,,,,,,,
GowaJRHicks20132017,12,1,£,1927,northern rhodesia,switzerland,exp,,,,,,,
GowaJRHicks20132017,36,1,£,1927,northern rhodesia,united states of america,exp,,,,,,,
GowaJRHicks20132017,366870,1,£,1928,northern rhodesia,united kingdom,exp,,,,,,,
GowaJRHicks20132017,141,1,£,1928,northern rhodesia,india,exp,,,,,,,
GowaJRHicks20132017,17,1,£,1928,northern rhodesia,australia,exp,,,,,,,
GowaJRHicks20132017,172,1,£,1928,northern rhodesia,hong kong,exp,,,,,,,
GowaJRHicks20132017,74,1,£,1928,northern rhodesia,kenya colony,exp,,,,,,,
GowaJRHicks20132017,5392,1,£,1928,northern rhodesia,north east rhodesia,exp,,,,,,,
GowaJRHicks20132017,77441,1,£,1928,northern rhodesia,southern rhodesia,exp,,,,,,,
GowaJRHicks20132017,98442,1,£,1928,northern rhodesia,union of south africa,exp,,,,,,,
GowaJRHicks20132017,1944,1,£,1928,northern rhodesia,nyassaland protectorate,exp,,,,,,,
GowaJRHicks20132017,1,1,£,1928,northern rhodesia,austria,exp,,,,,,,
GowaJRHicks20132017,81458,1,£,1928,northern rhodesia,belgium,exp,,,,,,,
GowaJRHicks20132017,82015,1,£,1928,northern rhodesia,belgian congo,exp,,,,,,,
GowaJRHicks20132017,590,1,£,1928,northern rhodesia,france,exp,,,,,,,
