source,flow,unit,currency,year,reporting,partner,export_import,special_general,species_bullions,transport_type,statistical_period,partner_sum,world_trade_type,notes
GowaJRHicks20132017,53228052,1,$,1921,singapore,uk,imp,,,,,,,
GowaJRHicks20132017,1557606,1,$,1921,singapore,british north borneo,imp,,,,,,,
GowaJRHicks20132017,4961647,1,$,1921,singapore,sarawak,imp,,,,,,,
GowaJRHicks20132017,11093028,1,$,1921,singapore,bombay and malabar coast,imp,,,,,,,
GowaJRHicks20132017,14350324,1,$,1921,singapore,calcutta,imp,,,,,,,
GowaJRHicks20132017,8929815,1,$,1921,singapore,burma,imp,,,,,,,
GowaJRHicks20132017,6001406,1,$,1921,singapore,madras and coromandel coast,imp,,,,,,,
GowaJRHicks20132017,533161,1,$,1921,singapore,ceylon,imp,,,,,,,
GowaJRHicks20132017,34257147,1,$,1921,singapore,hong kong,imp,,,,,,,
GowaJRHicks20132017,312687,1,$,1921,singapore,kedah,imp,,,,,,,
GowaJRHicks20132017,19372531,1,$,1921,singapore,johore,imp,,,,,,,
GowaJRHicks20132017,2764833,1,$,1921,singapore,kelantan,imp,,,,,,,
GowaJRHicks20132017,5340967,1,$,1921,singapore,negri sembilan,imp,,,,,,,
GowaJRHicks20132017,4952645,1,$,1921,singapore,pahang,imp,,,,,,,
GowaJRHicks20132017,29716167,1,$,1921,singapore,perak,imp,,,,,,,
GowaJRHicks20132017,23869319,1,$,1921,singapore,selangor,imp,,,,,,,
GowaJRHicks20132017,2004544,1,$,1921,singapore,trengganu,imp,,,,,,,
GowaJRHicks20132017,944580,1,$,1921,singapore,canada,imp,,,,,,,
GowaJRHicks20132017,15450473,1,$,1921,singapore,australia,imp,,,,,,,
GowaJRHicks20132017,3024,1,$,1921,singapore,new zealand,imp,,,,,,,
GowaJRHicks20132017,1123441,1,$,1921,singapore,union of south africa,imp,,,,,,,
GowaJRHicks20132017,337871,1,$,1921,singapore,egypt,imp,,,,,,,
GowaJRHicks20132017,647290,1,$,1921,singapore,other british possessions,imp,,,,,,,
GowaJRHicks20132017,409,1,$,1921,singapore,austria,imp,,,,,,,
GowaJRHicks20132017,861333,1,$,1921,singapore,belgium,imp,,,,,,,
GowaJRHicks20132017,601840,1,$,1921,singapore,denmark,imp,,,,,,,
GowaJRHicks20132017,2944941,1,$,1921,singapore,france,imp,,,,,,,
GowaJRHicks20132017,686708,1,$,1921,singapore,germany,imp,,,,,,,
GowaJRHicks20132017,2742018,1,$,1921,singapore,italy,imp,,,,,,,
GowaJRHicks20132017,2475119,1,$,1921,singapore,netherlands,imp,,,,,,,
GowaJRHicks20132017,20086,1,$,1921,singapore,norway,imp,,,,,,,
GowaJRHicks20132017,31203,1,$,1921,singapore,spain,imp,,,,,,,
GowaJRHicks20132017,136700,1,$,1921,singapore,sweden,imp,,,,,,,
GowaJRHicks20132017,16155,1,$,1921,singapore,turkey,imp,,,,,,,
GowaJRHicks20132017,25556729,1,$,1921,singapore,china,imp,,,,,,,
GowaJRHicks20132017,1800098,1,$,1921,singapore,french india,imp,,,,,,,
GowaJRHicks20132017,24973877,1,$,1921,singapore,french indo-china,imp,,,,,,,
GowaJRHicks20132017,21234366,1,$,1921,singapore,japan,imp,,,,,,,
GowaJRHicks20132017,436089,1,$,1921,singapore,bali and lombok,imp,,,,,,,
GowaJRHicks20132017,12339343,1,$,1921,singapore,borneo,imp,,,,,,,
GowaJRHicks20132017,1158589,1,$,1921,singapore,celebes and moluccas,imp,,,,,,,
GowaJRHicks20132017,29288799,1,$,1921,singapore,java,imp,,,,,,,
GowaJRHicks20132017,21786783,1,$,1921,singapore,sumatra,imp,,,,,,,
GowaJRHicks20132017,16918122,1,$,1921,singapore,other dutch islands,imp,,,,,,,
GowaJRHicks20132017,1576815,1,$,1921,singapore,philippine islands and sulu archipelago,imp,,,,,,,
GowaJRHicks20132017,40151561,1,$,1921,singapore,siam and siamese states,imp,,,,,,,
GowaJRHicks20132017,23095452,1,$,1921,singapore,us,imp,,,,,,,
GowaJRHicks20132017,586070,1,$,1921,singapore,other foreign countries,imp,,,,,,,
GowaJRHicks20132017,11587446,1,$,1921,singapore,malacca,imp,,,,,,,
GowaJRHicks20132017,18186194,1,$,1921,singapore,penang,imp,,,,,,,
GowaJRHicks20132017,714982,1,$,1921,singapore,labuan,imp,,,,,,,
GowaJRHicks20132017,57540,1,$,1921,singapore,christmas island,imp,,,,,,,
GowaJRHicks20132017,51940123,1,$,1922,singapore,uk,imp,,,,,,,
GowaJRHicks20132017,2220165,1,$,1922,singapore,british north borneo,imp,,,,,,,
GowaJRHicks20132017,8690064,1,$,1922,singapore,sarawak,imp,,,,,,,
GowaJRHicks20132017,3318157,1,$,1922,singapore,bombay and malabar coast,imp,,,,,,,
GowaJRHicks20132017,8708531,1,$,1922,singapore,calcutta,imp,,,,,,,
GowaJRHicks20132017,10496007,1,$,1922,singapore,burma,imp,,,,,,,
GowaJRHicks20132017,4319752,1,$,1922,singapore,madras and coromandel coast,imp,,,,,,,
GowaJRHicks20132017,407145,1,$,1922,singapore,ceylon,imp,,,,,,,
GowaJRHicks20132017,25694121,1,$,1922,singapore,hong kong,imp,,,,,,,
GowaJRHicks20132017,318906,1,$,1922,singapore,kedah,imp,,,,,,,
GowaJRHicks20132017,26176518,1,$,1922,singapore,johore,imp,,,,,,,
GowaJRHicks20132017,3700640,1,$,1922,singapore,kelantan,imp,,,,,,,
GowaJRHicks20132017,6917023,1,$,1922,singapore,negri sembilan,imp,,,,,,,
GowaJRHicks20132017,5681432,1,$,1922,singapore,pahang,imp,,,,,,,
GowaJRHicks20132017,18960775,1,$,1922,singapore,perak,imp,,,,,,,
GowaJRHicks20132017,23858717,1,$,1922,singapore,selangor,imp,,,,,,,
GowaJRHicks20132017,2092247,1,$,1922,singapore,trengganu,imp,,,,,,,
GowaJRHicks20132017,91125,1,$,1922,singapore,canada,imp,,,,,,,
GowaJRHicks20132017,13367679,1,$,1922,singapore,australia,imp,,,,,,,
GowaJRHicks20132017,171841,1,$,1922,singapore,new zealand,imp,,,,,,,
GowaJRHicks20132017,1907829,1,$,1922,singapore,union of south africa,imp,,,,,,,
GowaJRHicks20132017,435147,1,$,1922,singapore,egypt,imp,,,,,,,
GowaJRHicks20132017,117899,1,$,1922,singapore,other british possessions,imp,,,,,,,
GowaJRHicks20132017,1110,1,$,1922,singapore,austria,imp,,,,,,,
GowaJRHicks20132017,866156,1,$,1922,singapore,belgium,imp,,,,,,,
GowaJRHicks20132017,404889,1,$,1922,singapore,denmark,imp,,,,,,,
GowaJRHicks20132017,2930530,1,$,1922,singapore,france,imp,,,,,,,
GowaJRHicks20132017,1900522,1,$,1922,singapore,germany,imp,,,,,,,
GowaJRHicks20132017,2723963,1,$,1922,singapore,italy,imp,,,,,,,
GowaJRHicks20132017,2813379,1,$,1922,singapore,netherlands,imp,,,,,,,
GowaJRHicks20132017,42439,1,$,1922,singapore,norway,imp,,,,,,,
GowaJRHicks20132017,469776,1,$,1922,singapore,russia,imp,,,,,,,
GowaJRHicks20132017,12819,1,$,1922,singapore,spain,imp,,,,,,,
GowaJRHicks20132017,146518,1,$,1922,singapore,sweden,imp,,,,,,,
GowaJRHicks20132017,6583,1,$,1922,singapore,turkey,imp,,,,,,,
